scene_id;start;end;avscript;transcripts
1;0.0;9.666666417093523;餐厅内，一人差点将对面的人绊倒，抱歉说“哎，不好意思啊，我天呐差点把你绊倒，今天怎么回事啊”。;哎,不好意思啊,我天呐差点把你绊倒,今天怎么回事啊,
2;9.666666417093523;62.39999838896233;大楼内部，男子讲解操作电梯按钮位置上行下行。;对,大家可以看到这个地方的话,他这个会有两个按钮,一个上一个下,哎我应该没按着这个吧,也不太知道,这个是下行,这个是上行,关,一楼,好刚才没按上,
3;62.39999838896233;80.73333124896729;楼道内，一人用导盲杖行走，说“这应该是一楼吧，好谢谢啊，那个电梯，时间长了，有点老了”;这应该是一楼吧,好谢谢啊,那个电梯,时间长了,有点老了,
4;80.73333124896729;107.73333055188368;特殊教育学院内，一人走出室内并探路扶杆，说“OK不好意思，再地铁站或者火车站，一般都会有语音播报”。;OK不好意思,在地铁站或者火车站那种无障碍电梯,一般他都会有语音播报,盲盒,请,
5;107.73333055188368;154.3666626812417;街道上，一人边走边说去天桥对面吃喜欢的东西并跟随栅栏以保持方向。;今天我们再到天桥对面,我先挂了,OK,到天桥对面去吃一家我很喜欢吃的,东东,先卖个关子,好久没吃了,我好像走偏了,所以说还是得经常打着一下,左边的这个,右边的这个,哦,右边的这个栅栏,要不然不自觉的就会走偏,
6;154.3666626812417;168.5666623146274;"户外，男子在停车线旁走动，说""顺着这个边走，啊我又走偏了""。";时不时打一下,然后确定位置,所以他还挺好,跟盲道一样,顺着这个边,然后我又走偏了,
7;168.5666623146274;198.26666154783544;户外，一人行至台阶，说“应该快到头了吧”，然后上台阶，说“从这儿就可以上去了”。;应该快到头了吧,快到了,OK,到了,现在就可以上去了,OK,好的,
8;198.26666154783544;232.99999398442665;"天桥上，一行人边走边说""打到这个墙边，这样就不会走歪，一会可以给大家看看""，提到夕阳可能会好看。";打到这个墙边,这样就不会走歪,太阳落下去了吗,一会可以给大家看看,现在是夕阳吗,我也不太知道,如果是夕阳的话,应该会挺好看的,但如果没有的话,嗯,那我就没办法喽,
9;232.99999398442665;271.29999299560063;户外天桥，行人走动。有人说：“我往左走，要不然一会下楼梯容易踩空。”;我往左走,要不然，不好意思啊,要不然一会下楼梯,要不然一会下楼梯容易踩空,不知道楼梯啥时候来,OK,这样的话就不用怕了,因为前面是无障碍坡道,
10;271.29999299560063;295.63332570069815;天桥上，一人戴着引导杖行走，说“好像快到了吧，OK”。;两八八折,快到了吧,OK,
11;295.63332570069815;316.0999918389582;商场内，一人持导盲杖行走，说“我真是越来越厉害了，走的越来越熟了”。;我真是越来越厉害了,走的越来越熟了,
12;316.0999918389582;335.1333246808906;食堂，戴手表和持辅助棍的男子正走动，说“他们选狗，因为我走的比较慢，还剩个凉皮”。;他们选狗,因为我走的比较慢,还剩个凉皮,剩混蛋不吃这个这个呀嗯,
13;335.1333246808906;342.06665783521976;餐厅内，一男子拿着饭盘在自助餐台选菜，说“那还有凉皮呢，下回来可以吃，这回就先不了。”;那还有凉皮呢,下回来可以吃,这回就先不了,
14;342.06665783521976;426.466655656188;食堂，一个人在自助餐区用餐盘取菜，旁边学生排队打餐，说“我碰到他了，他跟我说不好意思”。;191腊肠炒饭好了啊,我碰着他了,他跟我说不好意思,因为我不知道他从外面过去,哦,哎,我就感觉快到了,我天呐,恨死我了,感觉到了,怎么没有打,真的,哎,气死我了,嗯,这疼死我了,就差了一点点,
15;426.466655656188;448.7333217479759;食堂内，一男子询问是否有巴沙鱼粉，店员回应可以在此食用。;您好这是鱼粉吗,这是鱼粉吗,吃鱼粉啊,哎,呃原味的巴沙鱼,巴沙鱼,对,在这吃啊,对在这吃,
