L2_theme_id;L2_sum;L2_tri;topics;scenes
1;为视频制作者加油;其他;[0, 3, 1, 44, 18, 21, 45];[1, 2, 8, 9, 15, 16]
2;称赞UP主的表现;其他;[47, 36, 101];[16, 14, 35]
3;讨论拍摄视角和画面;画面;[2, 4, 13, 14, 15, 22, 37, 45, 48, 52, 55, 57, 58, 67, 68];[1, 2, 6, 7, 8, 9, 14, 16, 19, 20, 23]
4;盲道的安全问题;画面;[13, 14, 19, 116, 117];[6, 8, 40, 41]
5;讨论UP主的衣服和颜色;画面;[26, 29, 38];[11, 12, 14]
6;对具体画面的辨认和评论;画面;[20, 43, 49, 54, 66];[9, 15, 19, 22]
7;讨论声音和风格;音频;[6, 16, 27];[2, 7, 11]
8;讨论天气和感觉;音频;[34];[13]
9;描述障碍人士的感知;音频;[27, 49, 50];[11, 17]
10;针对盲人剪辑视频的疑问;其他;[5, 79];[2, 27]
11;讨论盲人工具和技巧;其他;[72, 40, 109, 111, 113];[25, 15, 38, 40]
12;具体场景的描述和操作;其他;[10, 25, 51];[4, 10, 18]
13;称赞UP主的表现和态度;其他;[47, 30, 92, 56];[16, 12, 32, 20]
14;赞美视障者的能力和勇气;其他;[83, 84, 110];[30, 31, 38]
15;讨论背景相关内容;画面;[9, 55, 80, 88, 89, 90, 91];[4, 11, 20, 32]
16;视频中的疑问和解答;音频;[39, 102, 103];[35, 36]
